id;id_product;thirdpartyid;universalcode;price;weight;noofstock;dimensions
1;23332;Account;website quantify;38757;32433;90460;navigate wireless Handmade
2;76810;deposit Track actuating;Unbranded Soap;63081;44325;83023;Metical Incredible
3;54667;Internal intermediate;Bedfordshire;60561;70316;51217;intranet
4;16525;Australian;Business-focused;16911;11502;56622;Identity throughput Village
5;95488;Vermont auxiliary;COM Implementation Awesome;52784;27331;47574;Crossroad CSS
6;15530;Keyboard;Center black pixel;28408;60076;78380;Renminbi rich South
7;90341;project hacking efficient;mobile metrics;95618;19864;94541;application grey solution
8;91781;systems Gorgeous;Brand;64809;12655;27583;Cambridgeshire Chair
9;31845;Operations Chicken;Usability multi-byte;34414;1352;62245;IB
10;52862;Industrial Concrete;Pants bypassing Chief;26258;54007;92380;online Home Vista
